"embNo","yeatsSD","yeatsClust","yeatsMeanPwr"
363,0.049202696728477,4,0.00160628706336436
52,0.0448867412696013,4,0.00185457310314889
240,0.0539959386276629,4,0.0019820411263229
215,0.042428971618427,4,0.0020490137048411
242,0.0558456237724771,4,0.00207123809131484
152,0.0443371116829587,4,0.0021205244077971
378,0.0520818277589821,4,0.00214264907021573
150,0.0564976043102958,4,0.00225344990030811
8,0.0498088856212376,4,0.00237792561016575
166,0.040579404065695,4,0.00239495317619598
202,0.0476593802047926,4,0.00252812197706214
296,0.0510634356086273,4,0.00258185384640546
58,0.0538207980905474,4,0.00288369681027753
381,0.0562351438253072,4,0.00303761552099961
140,0.0559457110559818,4,0.00303803180733606
278,0.0545766135473054,4,0.0033659755814928
182,0.0530992848169868,4,0.00377381009825973
211,0.0492278897020475,5,0.00314149166362675
271,0.0516513949099581,5,0.00315733976519373
100,0.0344355724871817,5,0.0032873045784846
107,0.0464502799796697,5,0.00363108874656258
143,0.0596149835656065,5,0.00387941122716427
268,0.0445584893677989,5,0.00409351282021991
352,0.0582688742142634,5,0.00421808472784861
298,0.0570541199267301,5,0.00476361762108238
293,0.0581142930162084,5,0.00480049027375252
138,0.0575844647327298,5,0.00513652736581243
324,0.052497477422235,6,0.00267181280362056
310,0.0543693000651046,6,0.00267790933216266
194,0.0533851098058501,6,0.00275700859895617
257,0.0507652963062199,6,0.00277768790495911
79,0.0530896956195096,6,0.00277863332264413
284,0.0483066237419238,6,0.00293798069444755
89,0.046498713039904,6,0.00302971121302943
190,0.0577571602495636,6,0.00314873321477411
21,0.0547477922042439,6,0.00326800898014645
238,0.0450588682674265,6,0.00380609130451842
355,0.056562171263621,6,0.00421174382913734
354,0.0439327709025082,7,0.00205596314762298
25,0.0462611620608374,7,0.00238974288529246
312,0.0521643251434671,7,0.00258072621425304
217,0.0513746419129361,7,0.00258621682513166
72,0.046590670630404,7,0.00258884670450152
331,0.0548865365564428,7,0.00262112879400587
163,0.0452437254218971,7,0.00269548116568199
103,0.0461443221838422,7,0.00275699038707719
227,0.0493388281894601,7,0.00301487643730634
189,0.0505874373497626,7,0.00312108143338486
40,0.0489585176771963,7,0.00328886248848942
252,0.0623467416145186,7,0.00333052829068776
147,0.0569200739287928,7,0.00352789970227432
9,0.0609168951529287,7,0.00354535926777494
108,0.0532066540158987,7,0.00384682881344755
50,0.0603612552829939,7,0.00411999540756816
220,0.0371196939582666,8,0.00135573592745889
375,0.0407577171080974,8,0.00135883908656847
24,0.0380642252577003,8,0.00136658955800716
45,0.0323601700134984,8,0.00141235858966577
250,0.0387727932889617,8,0.0014229101407147
199,0.0430177643908175,8,0.00146981294695405
384,0.0403196344669002,8,0.00152993013953721
366,0.0486040444263577,8,0.00160423312733155
132,0.0458637405055698,8,0.00167312332335284
62,0.0507701121827287,8,0.00167331372471562
383,0.0517047718771405,8,0.00182985610487145
305,0.0481440811524625,8,0.00184315934782235
325,0.045708834491986,8,0.00185217792729592
196,0.049463482829952,8,0.00196224707926363
88,0.0461284414395453,8,0.00197763202156562
287,0.0440408671944388,8,0.00198487168116109
173,0.050028981196987,8,0.00206826759469514
318,0.0461315744053234,8,0.00211654017054481
180,0.0391584779112047,8,0.00218502927770111
234,0.0495448390551453,8,0.00244248108408849
29,0.0390157061785564,8,0.0024977301855079
161,0.0536937940349699,8,0.00263803185326293
246,0.0555055294882198,8,0.00272434891561128
120,0.0561166111336212,8,0.00278037651231561
344,0.0594762247962839,8,0.00284909734967491
1,0.0549899904511361,8,0.00307781676760169
317,0.0622627840671319,8,0.00322870996194301
116,0.0561265383595423,9,0.00432176541810915
26,0.0555092931466412,9,0.0053148624221084
82,0.0590270319315798,10,0.00457758278207386
174,0.0494436931323652,10,0.00457815628871773
80,0.0662596183356262,10,0.00576031017489174
369,0.0390399932036645,11,0.00139856941651562
48,0.0386173447744012,11,0.00144006498018149
364,0.0460575391315498,11,0.00165800351101948
121,0.0446233419576414,11,0.00166361066360417
83,0.0417783965047313,11,0.00167640903680601
63,0.0436892935120091,11,0.00175024032526547
12,0.0474587532033224,11,0.00178672659631183
345,0.03442403693767,11,0.0018588785824507
359,0.050719245332869,11,0.00193333608597988
313,0.0410793690978183,11,0.00194990447316401
187,0.047316641667163,11,0.0019681279638692
197,0.0517227010470749,11,0.00207740166937465
362,0.05948169592921,11,0.00208457891036356
178,0.0407197863592815,11,0.00216762307445588
302,0.0576666970413461,11,0.00220087234268389
308,0.0448082268627503,11,0.00223250272221908
68,0.051449301106303,11,0.00226256851005924
219,0.0435278159031571,11,0.00227574775196224
203,0.0460132001661145,11,0.0022793975356045
232,0.0446470487590738,11,0.00238108419758726
335,0.0511739772981671,11,0.00244991572558515
273,0.0500540022731029,11,0.00246721272654429
350,0.0407073639269612,11,0.00247107827514824
42,0.0453631027738707,11,0.0024773986982846
247,0.0543013662816952,11,0.00251162092207011
30,0.0444195525245854,11,0.00252176072205789
304,0.052734334830207,11,0.00256329655398295
353,0.0498029114998365,11,0.00263834187820998
78,0.0425730237045075,11,0.00285298963382951
141,0.0378458535627596,11,0.002929059498463
27,0.0455773086046271,11,0.00296780909743756
111,0.0482026075598907,11,0.00306621768119411
61,0.0464333734571501,12,0.00118159937363875
167,0.0503511152675611,12,0.0012339188350151
259,0.0441405082349381,12,0.00125170638723823
53,0.0478513098273423,12,0.00129868611481999
193,0.0521049146933855,12,0.00137176012090564
176,0.0552232125010528,12,0.00141191147888183
253,0.0483323950723785,12,0.001450963108225
113,0.0452775232692829,12,0.00149882849344328
281,0.0478291765374744,12,0.00150287558402749
343,0.0481983960337581,12,0.00151065894556455
101,0.0451743130317708,12,0.0015881591294209
373,0.0407134688455529,12,0.00162751731585378
122,0.0472351470742236,12,0.00164276345481305
71,0.0502180884957447,12,0.00168520635740753
315,0.0477396302115827,12,0.00173837387767906
340,0.0504506201779994,12,0.0017640631718309
288,0.055274580381878,12,0.00177400290454908
223,0.0528686156187342,12,0.00181673298130947
213,0.0556290677229051,12,0.0018603264671323
99,0.050535533392004,12,0.00190434813897795
125,0.043196334211315,12,0.00190436827071471
251,0.0488695778857945,12,0.00194298752492168
133,0.0644617352101468,12,0.00197745426019032
248,0.0541763757209987,12,0.00198451518019619
212,0.0501014257541969,12,0.00201669646161816
181,0.0545554953727554,12,0.00202768795906351
311,0.0533490069092346,12,0.0020618644143987
98,0.0548922157158733,12,0.00216149888777057
239,0.0545145955672678,12,0.00247182753177851
17,0.0526334194610703,12,0.00255010916405322
360,0.0543699012146541,12,0.00262785490108835
267,0.0555357123523399,12,0.00266219788256766
142,0.0624989065942193,12,0.00317801223439466
